Name,numOfCases,numOfDeaths,numOfRecovered,numOfTests
Afghanistan,714,23,43,1000
Albania,475,24,251,4558
Algeria,2070,326,708,3359
Andorra,659,31,169,1673
Angola,19,2,5,50
Anguilla,3,0,1,50
Antigua and Barbuda,23,2,3,73
Argentina,2432,105,596,24374
Armenia,1111,17,297,9095
Aruba,92,0,39,1198
Australia,6416,61,3686,371377
Austria,14234,384,8098,156801
Azerbaijan,1197,13,404,75397
Bahamas,49,8,6,100
Bahrain,1528,7,663,72647
Bangladesh,1012,46,49,14868
Barbados,73,5,15,864
Belarus,3281,33,203,76198
Belgium,31119,4157,7107,128132
Belize,18,2,0,567
Benin,35,1,18,50
Bermuda,57,5,30,416
Bhutan,5,0,2,1166
Bolivia,397,28,7,2185
Bonaire Sint Eustatius and Saba,4,0,0,10
Bosnia and Herzegovina,1073,39,253,13339
Botswana,13,1,0,3115
Brazil,25262,1532,14026,62985
British Virgin Islands,3,0,2,50
Brunei,136,1,108,10579
Bulgaria,713,35,105,18502
Burkina Faso,528,30,177,100
Burundi,5,1,2,30
Cambodia,122,0,96,5768
Cameroon,855,17,165,1500
Canada,27046,903,8937,450717
Cape Verde,11,1,1,50
Cayman Islands,54,1,6,580
Central African Republic,11,0,4,50
Chad,23,0,2,50
Chile,7917,92,2937,91873
China,83352,3346,77816,200000
Colombia,2979,127,354,45423
Congo,74,5,11,311
Costa Rica,618,3,67,9089
Cote dIvoire,626,6,65,100
Croatia,1704,31,473,19256
Cuba,766,21,151,20451
Curacao,14,1,10,230
Cyprus,695,17,65,17923
Czech Republic,6141,161,819,137672
Democratic Republic of Congo,254,21,5,500
Denmark,6511,299,2748,77712
Djibouti,363,2,71,5936
Dominican Republic,3286,183,208,9275
Ecuador,7603,355,780,26093
Egypt,2350,178,589,25000
El Salvador,159,6,30,7785
Equatorial Guinea,41,0,4,854
Eritrea,35,0,0,75
Estonia,1373,31,117,33967
Ethiopia,82,3,15,4988
Faeroe Islands,184,0,166,5677
Falkland Islands,11,0,1,56
Fiji,16,0,0,87
Finland,3161,64,300,48828
France,103573,15729,30955,333807
French Polynesia,55,0,5,100
Gabon,75,1,4,153
Gambia,9,1,2,281
Georgia,300,3,71,5027
Germany,127584,3254,72600,1728357
Ghana,636,8,17,44421
Gibraltar,129,4,104,1649
